date_utc,cycle_utc,pier_key,pier_name,node_index,temp_c,temp_f,mesh_nodes,mesh_ok,note
2026-06-28,12,sheboygan,Sheboygan,20022,16.0285,60.851,90806,yes,
2026-06-28,12,manitowoc,Manitowoc,21438,15.4745,59.854,90806,yes,
2026-06-28,12,two_rivers,Two Rivers,23983,14.7047,58.468,90806,yes,
2026-06-28,12,kewaunee,Kewaunee,28542,16.0141,60.825,90806,yes,
2026-06-28,12,algoma,Algoma,28904,16.3257,61.386,90806,yes,
2026-06-28,12,sturgeon_bay,Sturgeon Bay,31190,16.8519,62.333,90806,yes,
2026-06-28,12,open_lake_45210,Open lake (buoy 45210 node),28627,15.2239,59.403,90806,yes,
2026-06-29,12,sheboygan,Sheboygan,20022,15.1556,59.28,90806,yes,
2026-06-29,12,manitowoc,Manitowoc,21438,16.1885,61.139,90806,yes,
2026-06-29,12,two_rivers,Two Rivers,23983,15.2555,59.46,90806,yes,
2026-06-29,12,kewaunee,Kewaunee,28542,16.5872,61.857,90806,yes,
2026-06-29,12,algoma,Algoma,28904,17.3061,63.151,90806,yes,
2026-06-29,12,sturgeon_bay,Sturgeon Bay,31190,17.8536,64.136,90806,yes,
2026-06-29,12,open_lake_45210,Open lake (buoy 45210 node),28627,15.9844,60.772,90806,yes,
2026-06-30,12,sheboygan,Sheboygan,20022,11.7879,53.218,90806,yes,
2026-06-30,12,manitowoc,Manitowoc,21438,15.309,59.556,90806,yes,
2026-06-30,12,two_rivers,Two Rivers,23983,15.0859,59.155,90806,yes,
2026-06-30,12,kewaunee,Kewaunee,28542,14.6004,58.281,90806,yes,
2026-06-30,12,algoma,Algoma,28904,14.9646,58.936,90806,yes,
2026-06-30,12,sturgeon_bay,Sturgeon Bay,31190,16.3446,61.42,90806,yes,
2026-06-30,12,open_lake_45210,Open lake (buoy 45210 node),28627,14.8498,58.73,90806,yes,
2026-07-01,12,sheboygan,Sheboygan,20022,8.641,47.554,90806,yes,
2026-07-01,12,manitowoc,Manitowoc,21438,11.8004,53.241,90806,yes,
2026-07-01,12,two_rivers,Two Rivers,23983,10.7164,51.29,90806,yes,
2026-07-01,12,kewaunee,Kewaunee,28542,11.2709,52.288,90806,yes,
2026-07-01,12,algoma,Algoma,28904,11.0053,51.81,90806,yes,
